episode,steps,score,epsilon,success,keys_collected,doors_opened,wrong_key_attempts,termination_reason
1,100,-5.332187499999995,1.0,False,0,0,6,timeout
2,50,-7.661150793650793,0.998,False,0,0,3,enemy_collision
3,88,-4.4717063492063485,0.996004,False,0,0,0,enemy_collision
4,56,-11.617579365079365,0.994011992,False,0,0,7,enemy_collision
5,100,-3.3698908730158728,0.992023968016,False,0,0,4,timeout
6,100,-1.3226488095238094,0.990039920079968,False,0,0,2,timeout
7,100,0.6484821428571429,0.9880598402398081,False,0,0,0,timeout
8,100,-3.3171527777777765,0.9860837205593285,False,0,0,4,timeout
9,96,-4.379429563492063,0.9841115531182099,False,0,0,0,enemy_collision
10,100,0.6507242063492066,0.9821433300119734,False,0,0,0,timeout
11,100,0.6450297619047616,0.9801790433519495,False,0,0,0,timeout
12,100,-5.3184375000000035,0.9782186852652456,False,0,0,6,timeout
13,67,-4.567048611111111,0.976262247894715,False,0,0,0,enemy_collision
14,67,-4.6198363095238095,0.9743097233989256,False,0,0,0,enemy_collision
15,97,-6.354702380952381,0.9723611039521278,False,0,0,2,enemy_collision
16,100,0.6592708333333334,0.9704163817442236,False,0,0,0,timeout
17,88,-6.458219246031746,0.9684755489807352,False,0,0,2,enemy_collision
18,68,-11.54759424603175,0.9665385978827737,False,0,0,7,enemy_collision
19,50,-4.685188492063492,0.9646055206870082,False,0,0,0,enemy_collision
20,100,0.6352380952380949,0.9626763096456342,False,0,0,0,timeout
21,97,-7.293571428571429,0.9607509570263429,False,0,0,3,enemy_collision
22,100,-6.317529761904761,0.9588294551122902,False,0,0,7,timeout
23,100,0.6538343253968253,0.9569117962020657,False,0,0,0,timeout
24,89,-6.4113244047619045,0.9549979726096616,False,0,0,2,enemy_collision
25,100,-5.336150793650795,0.9530879766644422,False,0,0,6,timeout
26,100,-1.3493601190476199,0.9511818007111134,False,0,0,2,timeout
27,100,-1.3339136904761904,0.9492794371096911,False,0,0,2,timeout
28,100,-1.3377976190476177,0.9473808782354717,False,0,0,2,timeout
29,65,-6.627475198412698,0.9454861164790007,False,0,0,2,enemy_collision
30,50,-4.6623809523809525,0.9435951442460427,False,0,0,0,enemy_collision
31,100,0.6576736111111112,0.9417079539575507,False,0,0,0,timeout
32,49,-4.687480158730159,0.9398245380496356,False,0,0,0,enemy_collision
33,95,-7.398402777777777,0.9379448889735363,False,0,0,3,enemy_collision
34,100,-0.3478571428571433,0.9360689991955893,False,0,0,1,timeout
35,83,-7.535749007936509,0.9341968611971981,False,0,0,3,enemy_collision
36,100,-0.34751984126984203,0.9323284674748037,False,0,0,1,timeout
37,100,-2.3139384920634907,0.930463810539854,False,0,0,3,timeout
38,40,-4.742410714285714,0.9286028829187744,False,0,0,0,enemy_collision
39,58,-6.591046626984127,0.9267456771529368,False,0,0,2,enemy_collision
40,100,-0.332901785714286,0.9248921857986309,False,0,0,1,timeout
41,49,-4.748700396825397,0.9230424014270336,False,0,0,0,enemy_collision
42,100,-1.3319196428571418,0.9211963166241796,False,0,0,2,timeout
43,100,-5.298621031746028,0.9193539239909312,False,0,0,6,timeout
44,100,-0.35099206349206347,0.9175152161429493,False,0,0,1,timeout
45,65,-8.534593253968254,0.9156801857106633,False,0,0,4,enemy_collision
46,100,-3.366512896825398,0.913848825339242,False,0,0,4,timeout
47,16,-4.931780753968254,0.9120211276885636,False,0,0,0,enemy_collision
48,100,0.6478670634920634,0.9101970854331864,False,0,0,0,timeout
49,50,-4.7127380952380955,0.9083766912623201,False,0,0,0,enemy_collision
50,100,-3.3100496031746016,0.9065599378797955,False,0,0,4,timeout
51,100,-0.349330357142857,0.9047468180040359,False,0,0,1,timeout
52,25,-4.865585317460318,0.9029373243680279,False,0,0,0,enemy_collision
53,100,-3.29202380952381,0.9011314497192918,False,0,0,4,timeout
54,100,-1.3072817460317443,0.8993291868198532,False,0,0,2,timeout
55,100,-0.3225694444444442,0.8975305284462135,False,0,0,1,timeout
56,100,0.6349702380952373,0.8957354673893211,False,0,0,0,timeout
57,100,-1.342172619047619,0.8939439964545425,False,0,0,2,timeout
58,100,-0.33712797619047596,0.8921561084616334,False,0,0,1,timeout
59,61,-6.631125992063492,0.8903717962447101,False,0,0,2,enemy_collision
60,100,-10.284176587301582,0.8885910526522206,False,0,0,11,timeout
61,100,0.6498015873015871,0.8868138705469162,False,0,0,0,timeout
