episode,steps,score,epsilon,success,keys_collected,doors_opened,wrong_key_attempts,termination_reason
45,100,2.8170882936507917,0.9156801857106633,False,2,1,0,timeout
46,100,-7.288027597402598,0.913848825339242,False,2,0,12,timeout
47,71,-2.3223363095238057,0.9120211276885636,False,1,0,0,enemy_collision
48,48,-1.6044642857142835,0.9101970854331864,False,2,0,1,enemy_collision
49,48,-2.668645833333332,0.9083766912623201,False,2,0,2,enemy_collision
50,50,-4.6154464285714285,0.9065599378797955,False,2,0,5,enemy_collision
51,100,-2.284667207792205,0.9047468180040359,False,2,0,7,timeout
52,20,-2.7859226190476187,0.9029373243680279,False,1,0,0,enemy_collision
53,100,2.722977994228,0.9011314497192918,False,2,0,2,timeout
54,47,-4.7647619047619045,0.8993291868198532,False,0,0,0,enemy_collision
55,100,5.847202380952374,0.8975305284462135,False,1,1,0,timeout
56,32,-4.839851190476191,0.8957354673893211,False,0,0,0,enemy_collision
57,91,20.601354166666667,0.8939439964545425,True,2,2,0,success
58,100,-2.294647817460319,0.8921561084616334,False,2,0,7,timeout
59,100,1.69605158730159,0.8903717962447101,False,2,0,3,timeout
60,100,6.631019570707073,0.8885910526522206,False,2,1,1,timeout
61,57,-7.582916666666666,0.8868138705469162,False,0,0,3,enemy_collision
62,92,2.565446428571425,0.8850402428058224,False,2,1,0,enemy_collision
63,100,1.7820689033189054,0.8832701623202107,False,2,0,3,timeout
64,55,-1.6410159632034618,0.8815036219955703,False,2,0,1,enemy_collision
65,7,-4.960624999999999,0.8797406147515792,False,0,0,0,enemy_collision
66,20,-3.7680059523809533,0.877981133522076,False,1,0,1,enemy_collision
67,100,3.693298611111115,0.8762251712550319,False,2,0,1,timeout
68,85,2.7211309523809524,0.8744727209125218,False,2,1,0,enemy_collision
69,100,6.634756944444445,0.8727237754706968,False,2,1,1,timeout
70,100,3.785590277777779,0.8709783279197554,False,2,0,1,timeout
71,8,-4.945625,0.8692363712639158,False,0,0,0,enemy_collision
72,25,-0.8084226190476214,0.867497898521388,False,2,0,0,enemy_collision
73,30,-4.870833333333334,0.8657629027243453,False,0,0,0,enemy_collision
74,32,-4.787579365079365,0.8640313769188966,False,2,0,4,enemy_collision
75,64,1.5806150793650797,0.8623033141650589,False,2,1,1,enemy_collision
76,55,-6.631249999999999,0.8605787075367288,False,0,0,2,enemy_collision
77,19,-4.914166666666667,0.8588575501216553,False,0,0,0,enemy_collision
78,83,-1.5730208333333344,0.857139835021412,False,2,0,1,enemy_collision
79,32,-5.83467261904762,0.8554255553513692,False,0,0,1,enemy_collision
80,49,2.361939484126985,0.8537147042406664,False,2,1,0,enemy_collision
81,22,-5.852916666666666,0.8520072748321851,False,0,0,1,enemy_collision
82,32,-5.78,0.8503032602825207,False,0,0,1,enemy_collision
83,100,0.7292113095238101,0.8486026537619556,False,2,0,4,timeout
84,20,-5.882470238095238,0.8469054484544317,False,0,0,1,enemy_collision
85,100,-7.406488095238105,0.8452116375575228,False,0,0,8,timeout
86,8,-4.952916666666667,0.8435212142824078,False,0,0,0,enemy_collision
87,100,0.7584077380952445,0.841834171853843,False,2,0,4,timeout
88,100,4.828725198412699,0.8401505035101353,False,2,0,0,timeout
89,100,6.770550595238092,0.838470202503115,False,2,1,1,timeout
90,100,4.8029017857142815,0.8367932620981088,False,2,0,0,timeout
91,86,2.78711309523809,0.8351196755739125,False,2,1,0,enemy_collision
92,76,2.623913690476188,0.8334494362227647,False,2,1,0,enemy_collision
93,100,7.604345238095229,0.8317825373503192,False,2,1,0,timeout
94,40,-12.745416666666667,0.8301189722756185,False,0,0,8,enemy_collision
95,100,-0.3383333333333328,0.8284587343310672,False,0,0,1,timeout
96,20,-4.866517857142857,0.8268018168624051,False,0,0,0,enemy_collision
97,8,-5.94625,0.8251482132286803,False,0,0,1,enemy_collision
98,35,-7.801875000000001,0.823497916802223,False,0,0,3,enemy_collision
99,19,-4.876666666666666,0.8218509209686186,False,0,0,0,enemy_collision
100,31,-4.808958333333333,0.8202072191266814,False,0,0,0,enemy_collision
101,100,4.784999999999995,0.818566804688428,False,2,0,0,timeout
102,64,-1.5293840187590177,0.8169296710790511,False,2,0,1,enemy_collision
103,96,-3.381982774170275,0.815295811736893,False,2,0,3,enemy_collision
104,96,-1.3661904761904742,0.8136652201134192,False,2,0,1,enemy_collision
