episode,steps,score,epsilon,success,keys_collected,doors_opened,wrong_key_attempts,termination_reason
1,20,-2.8597916666666663,1.0,False,1,0,0,enemy_collision
2,24,-4.871875,0.998,False,0,0,0,enemy_collision
3,13,-2.896026785714285,0.996004,False,1,0,0,enemy_collision
4,6,-2.945401785714285,0.994011992,False,1,0,0,enemy_collision
5,9,-4.944791666666667,0.992023968016,False,0,0,0,enemy_collision
6,11,-4.9262500000000005,0.990039920079968,False,0,0,0,enemy_collision
7,10,-4.934375,0.9880598402398081,False,0,0,0,enemy_collision
8,10,-4.9325,0.9860837205593285,False,0,0,0,enemy_collision
9,8,-2.942534722222222,0.9841115531182099,False,1,0,0,enemy_collision
10,9,-4.940625,0.9821433300119734,False,0,0,0,enemy_collision
11,8,-4.944583333333334,0.9801790433519495,False,0,0,0,enemy_collision
12,22,-2.882678571428571,0.9782186852652456,False,1,0,0,enemy_collision
13,11,-2.921443452380952,0.976262247894715,False,1,0,0,enemy_collision
14,8,-4.939583333333333,0.9743097233989256,False,0,0,0,enemy_collision
15,11,-2.919553571428571,0.9723611039521278,False,1,0,0,enemy_collision
16,8,-4.942708333333334,0.9704163817442236,False,0,0,0,enemy_collision
17,100,7.738809523809517,0.9684755489807352,False,2,1,0,timeout
18,35,-4.788541666666667,0.9665385978827737,False,0,0,0,enemy_collision
19,8,-4.944583333333334,0.9646055206870082,False,0,0,0,enemy_collision
20,18,-2.869404761904761,0.9626763096456342,False,1,0,0,enemy_collision
21,12,-2.923511904761904,0.9607509570263429,False,1,0,0,enemy_collision
22,18,0.1064335317460321,0.9588294551122902,False,1,1,0,enemy_collision
23,9,-4.935625,0.9569117962020657,False,0,0,0,enemy_collision
24,20,-2.8457291666666658,0.9549979726096616,False,1,0,0,enemy_collision
25,7,-4.942708333333334,0.9530879766644422,False,0,0,0,enemy_collision
26,9,-4.9325,0.9511818007111134,False,0,0,0,enemy_collision
27,20,-2.8673015873015872,0.9492794371096911,False,1,0,0,enemy_collision
28,30,0.19823908730158912,0.9473808782354717,False,1,1,0,enemy_collision
29,13,-2.907276785714285,0.9454861164790007,False,1,0,0,enemy_collision
30,9,-4.932708333333333,0.9435951442460427,False,0,0,0,enemy_collision
31,10,-4.939375,0.9417079539575507,False,0,0,0,enemy_collision
32,30,-2.7975843253968256,0.9398245380496356,False,1,0,0,enemy_collision
33,33,-2.7544791666666666,0.9379448889735363,False,1,0,0,enemy_collision
34,11,-4.943958333333334,0.9360689991955893,False,0,0,0,enemy_collision
35,12,-2.891324404761905,0.9341968611971981,False,1,0,0,enemy_collision
36,21,-4.859791666666667,0.9323284674748037,False,0,0,0,enemy_collision
37,9,-4.940625,0.930463810539854,False,0,0,0,enemy_collision
38,10,-4.929166666666667,0.9286028829187744,False,0,0,0,enemy_collision
39,10,-4.930416666666667,0.9267456771529368,False,0,0,0,enemy_collision
40,12,-2.894002976190476,0.9248921857986309,False,1,0,0,enemy_collision
41,12,-2.9125545634920624,0.9230424014270336,False,1,0,0,enemy_collision
42,43,-4.722708333333333,0.9211963166241796,False,0,0,0,enemy_collision
43,7,-4.945833333333334,0.9193539239909312,False,0,0,0,enemy_collision
44,30,-2.7478422619047613,0.9175152161429493,False,1,0,0,enemy_collision
45,26,-2.81735119047619,0.9156801857106633,False,1,0,0,enemy_collision
46,10,-2.9396180555555556,0.913848825339242,False,1,0,0,enemy_collision
47,23,-2.8291716269841265,0.9120211276885636,False,1,0,0,enemy_collision
48,9,-2.9376736111111112,0.9101970854331864,False,1,0,0,enemy_collision
49,7,-2.938839285714285,0.9083766912623201,False,1,0,0,enemy_collision
50,8,-4.942916666666667,0.9065599378797955,False,0,0,0,enemy_collision
51,8,-4.9366666666666665,0.9047468180040359,False,0,0,0,enemy_collision
52,31,-2.811269841269839,0.9029373243680279,False,1,0,0,enemy_collision
53,11,-2.9192361111111107,0.9011314497192918,False,1,0,0,enemy_collision
54,20,-2.8614583333333328,0.8993291868198532,False,1,0,0,enemy_collision
55,9,-4.946875,0.8975305284462135,False,0,0,0,enemy_collision
56,8,-4.94625,0.8957354673893211,False,0,0,0,enemy_collision
57,18,0.09174107142857224,0.8939439964545425,False,1,1,0,enemy_collision
58,9,-4.934583333333333,0.8921561084616334,False,0,0,0,enemy_collision
59,24,-2.8548164682539667,0.8903717962447101,False,1,0,0,enemy_collision
60,12,-2.894241071428571,0.8885910526522206,False,1,0,0,enemy_collision
61,13,-2.906220238095238,0.8868138705469162,False,1,0,0,enemy_collision
62,17,-2.8918799603174596,0.8850402428058224,False,1,0,0,enemy_collision
63,42,0.1854761904761899,0.8832701623202107,False,1,1,0,enemy_collision
64,17,-2.8915029761904765,0.8815036219955703,False,1,0,0,enemy_collision
65,11,-2.9153472222222216,0.8797406147515792,False,1,0,0,enemy_collision
66,7,-2.9417559523809516,0.877981133522076,False,1,0,0,enemy_collision
67,9,-4.941666666666666,0.8762251712550319,False,0,0,0,enemy_collision
68,100,7.657589285714279,0.8744727209125218,False,2,1,0,timeout
69,9,-4.928541666666667,0.8727237754706968,False,0,0,0,enemy_collision
70,9,-2.937152777777778,0.8709783279197554,False,1,0,0,enemy_collision
71,28,-2.8209573412698417,0.8692363712639158,False,1,0,0,enemy_collision
72,23,-2.8559672619047616,0.867497898521388,False,1,0,0,enemy_collision
73,8,-4.9366666666666665,0.8657629027243453,False,0,0,0,enemy_collision
74,8,-4.949791666666667,0.8640313769188966,False,0,0,0,enemy_collision
75,20,-2.8695188492063486,0.8623033141650589,False,1,0,0,enemy_collision
76,6,-2.947485119047619,0.8605787075367288,False,1,0,0,enemy_collision
77,17,-2.893095238095238,0.8588575501216553,False,1,0,0,enemy_collision
78,8,-4.940625,0.857139835021412,False,0,0,0,enemy_collision
79,51,-2.62808035714286,0.8554255553513692,False,1,0,0,enemy_collision
80,10,-2.929895833333333,0.8537147042406664,False,1,0,0,enemy_collision
81,9,-4.939791666666667,0.8520072748321851,False,0,0,0,enemy_collision
82,9,-4.928333333333334,0.8503032602825207,False,0,0,0,enemy_collision
83,7,-4.940625000000001,0.8486026537619556,False,0,0,0,enemy_collision
84,10,-4.940416666666667,0.8469054484544317,False,0,0,0,enemy_collision
85,21,-2.871592261904762,0.8452116375575228,False,1,0,0,enemy_collision
86,32,-2.7953124999999983,0.8435212142824078,False,1,0,0,enemy_collision
87,13,-2.8882142857142856,0.841834171853843,False,1,0,0,enemy_collision
88,10,-4.929375,0.8401505035101353,False,0,0,0,enemy_collision
89,10,-4.946666666666667,0.838470202503115,False,0,0,0,enemy_collision
90,37,-2.799017857142857,0.8367932620981088,False,1,0,0,enemy_collision
91,17,-2.891428571428571,0.8351196755739125,False,1,0,0,enemy_collision
92,7,-4.947708333333334,0.8334494362227647,False,0,0,0,enemy_collision
93,8,-4.951666666666667,0.8317825373503192,False,0,0,0,enemy_collision
94,7,-4.940625000000001,0.8301189722756185,False,0,0,0,enemy_collision
95,57,-2.666944444444443,0.8284587343310672,False,1,0,0,enemy_collision
96,18,-2.8418749999999995,0.8268018168624051,False,1,0,0,enemy_collision
97,12,-2.9105307539682532,0.8251482132286803,False,1,0,0,enemy_collision
98,34,-2.7896874999999994,0.823497916802223,False,1,0,0,enemy_collision
99,20,-2.8794097222222215,0.8218509209686186,False,1,0,0,enemy_collision
100,8,-2.933680555555555,0.8202072191266814,False,1,0,0,enemy_collision
101,9,-4.931666666666667,0.818566804688428,False,0,0,0,enemy_collision
102,13,-2.891116071428571,0.8169296710790511,False,1,0,0,enemy_collision
103,36,-2.7782341269841258,0.815295811736893,False,1,0,0,enemy_collision
104,20,-4.861666666666667,0.8136652201134192,False,0,0,0,enemy_collision
105,38,-2.744017857142858,0.8120378896731923,False,1,0,0,enemy_collision
