episode,steps,score,epsilon,success,keys_collected,doors_opened,wrong_key_attempts,termination_reason
114,55,-2.5760416666666672,0.7975375970595246,False,1,0,0,enemy_collision
115,100,2.8748520923520937,0.7959425218654056,False,1,0,0,timeout
116,6,-2.951041666666667,0.7943506368216747,False,1,0,0,enemy_collision
117,79,-2.445595238095239,0.7927619355480314,False,1,0,0,enemy_collision
118,21,-4.8445833333333335,0.7911764116769353,False,0,0,0,enemy_collision
119,80,-4.416875000000001,0.7895940588535815,False,0,0,0,enemy_collision
120,100,2.792648809523812,0.7880148707358743,False,1,0,0,timeout
121,56,-4.569791666666667,0.7864388409944025,False,0,0,0,enemy_collision
122,20,-4.856458333333333,0.7848659633124138,False,0,0,0,enemy_collision
123,81,-8.418958333333332,0.783296231385789,False,0,0,4,enemy_collision
124,8,-4.944583333333334,0.7817296389230174,False,0,0,0,enemy_collision
125,37,-2.6986904761904764,0.7801661796451713,False,1,0,0,enemy_collision
126,97,-2.1777286255411235,0.778605847285881,False,1,0,0,enemy_collision
127,100,2.8780140692640734,0.7770486355913092,False,1,0,0,timeout
128,100,0.8227083333333332,0.7754945383201266,False,0,0,0,timeout
129,8,-4.942291666666667,0.7739435492434863,False,0,0,0,enemy_collision
130,70,0.4923412698412708,0.7723956621449993,False,1,1,0,enemy_collision
131,31,-2.7625,0.7708508708207094,False,1,0,0,enemy_collision
132,31,-2.774791666666667,0.769309169079068,False,1,0,0,enemy_collision
133,67,-2.502083333333334,0.7677705507409098,False,1,0,0,enemy_collision
134,100,0.7410416666666664,0.766235009639428,False,0,0,0,timeout
135,66,0.4010317460317463,0.7647025396201492,False,1,1,0,enemy_collision
136,55,0.37872519841269714,0.763173134540909,False,1,1,0,enemy_collision
137,68,-4.498541666666667,0.7616467882718272,False,0,0,0,enemy_collision
138,30,-4.765833333333334,0.7601234946952835,False,0,0,0,enemy_collision
139,30,-4.758541666666667,0.7586032477058929,False,0,0,0,enemy_collision
140,80,-4.389166666666667,0.7570860412104812,False,0,0,0,enemy_collision
141,76,-2.3772073412698385,0.7555718691280602,False,1,0,0,enemy_collision
142,44,-4.654375000000001,0.7540607253898041,False,0,0,0,enemy_collision
143,62,-4.544166666666667,0.7525526039390245,False,0,0,0,enemy_collision
144,100,2.8318750000000006,0.7510474987311464,False,1,0,0,timeout
145,100,2.854680284992786,0.7495454037336841,False,1,0,0,timeout
146,100,0.7904166666666672,0.7480463129262167,False,0,0,0,timeout
