episode,steps,score,epsilon,success,keys_collected,doors_opened,wrong_key_attempts,termination_reason
1,63,-4.588541666666667,1.0,False,0,0,0,enemy_collision
2,87,0.7748660714285727,0.998,False,1,1,0,enemy_collision
3,30,-5.817708333333334,0.996004,False,0,0,1,enemy_collision
4,31,-4.825208333333333,0.994011992,False,0,0,0,enemy_collision
5,30,-2.777068452380953,0.992023968016,False,1,0,0,enemy_collision
6,100,-2.2847916666666674,0.990039920079968,False,2,0,7,timeout
7,8,-4.951041666666667,0.9880598402398081,False,0,0,0,enemy_collision
8,44,-2.641294642857141,0.9860837205593285,False,1,0,0,enemy_collision
9,34,-5.795624999999999,0.9841115531182099,False,0,0,1,enemy_collision
10,26,-2.8355059523809523,0.9821433300119734,False,1,0,0,enemy_collision
11,19,-4.8845833333333335,0.9801790433519495,False,0,0,0,enemy_collision
12,43,0.28345238095237946,0.9782186852652456,False,1,1,0,enemy_collision
13,31,-4.795,0.976262247894715,False,0,0,1,enemy_collision
14,47,-6.733750000000001,0.9743097233989256,False,0,0,2,enemy_collision
15,100,0.7862698412698418,0.9723611039521278,False,1,0,2,timeout
16,73,-2.531398809523809,0.9704163817442236,False,1,0,0,enemy_collision
17,39,-2.724047619047618,0.9684755489807352,False,1,0,0,enemy_collision
18,35,0.21437499999999954,0.9665385978827737,False,1,1,0,enemy_collision
19,38,-2.732708333333333,0.9646055206870082,False,1,0,0,enemy_collision
20,29,-4.848750000000001,0.9626763096456342,False,0,0,0,enemy_collision
21,24,-4.849583333333333,0.9607509570263429,False,0,0,0,enemy_collision
22,100,1.7023214285714292,0.9588294551122902,False,1,0,1,timeout
23,27,-4.835625,0.9569117962020657,False,0,0,0,enemy_collision
24,22,-4.866666666666666,0.9549979726096616,False,0,0,0,enemy_collision
25,32,-5.8343750000000005,0.9530879766644422,False,0,0,1,enemy_collision
26,48,-3.735922619047619,0.9511818007111134,False,1,0,1,enemy_collision
27,67,-2.411874999999996,0.9492794371096911,False,1,0,0,enemy_collision
28,20,-4.871458333333334,0.9473808782354717,False,0,0,0,enemy_collision
